,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
30,2021-03-19,21:00,Ligue 1,Matchweek 30,Fri,Home,L,0,4,Monaco,0.5,2.3,41.0,,Mathieu Debuchy,3-4-1-2,Mikael Lesage,Match Report,,9.0,3.0,18.5,2.0,0.0,0.0,2021,Saint Etienne
31,2021-04-04,17:05,Ligue 1,Matchweek 31,Sun,Away,W,2,0,Nîmes,1.7,1.7,47.0,,Mathieu Debuchy,4-1-4-1,Thomas Léonard,Match Report,,15.0,5.0,16.1,0.0,0.0,0.0,2021,Saint Etienne
32,2021-04-11,15:00,Ligue 1,Matchweek 32,Sun,Home,W,4,1,Bordeaux,3.3,2.0,37.0,,Mathieu Debuchy,4-1-4-1,Franck Schneider,Match Report,,15.0,4.0,19.1,2.0,2.0,2.0,2021,Saint Etienne
33,2021-04-18,13:00,Ligue 1,Matchweek 33,Sun,Away,L,2,3,Paris S-G,1.2,2.2,29.0,,Mathieu Debuchy,4-4-2,Ruddy Buquet,Match Report,,7.0,5.0,14.8,0.0,0.0,0.0,2021,Saint Etienne
34,2021-04-24,13:00,Ligue 1,Matchweek 34,Sat,Home,L,1,2,Brest,0.9,1.9,44.0,,Mathieu Debuchy,4-3-3,Florent Batta,Match Report,,6.0,3.0,13.4,0.0,0.0,0.0,2021,Saint Etienne
35,2021-05-02,17:05,Ligue 1,Matchweek 35,Sun,Away,W,2,1,Montpellier,2.6,1.0,55.0,,Mathieu Debuchy,4-4-2,Karim Abed,Match Report,,19.0,7.0,17.0,1.0,0.0,0.0,2021,Saint Etienne
36,2021-05-09,13:00,Ligue 1,Matchweek 36,Sun,Home,W,1,0,Marseille,1.4,1.6,45.0,,Mathieu Debuchy,4-4-2,Johan Hamel,Match Report,,18.0,5.0,18.7,1.0,0.0,0.0,2021,Saint Etienne
37,2021-05-16,21:00,Ligue 1,Matchweek 37,Sun,Away,D,0,0,Lille,0.4,1.0,41.0,,Mathieu Debuchy,4-4-2,Jérôme Brisard,Match Report,,8.0,1.0,19.3,0.0,0.0,0.0,2021,Saint Etienne
38,2021-05-23,21:00,Ligue 1,Matchweek 38,Sun,Home,L,0,1,Dijon,1.4,1.3,65.0,,Mahdi Camara,4-4-2,Antony Gautier,Match Report,,19.0,5.0,18.7,0.0,0.0,0.0,2021,Saint Etienne
0,2020-08-21,19:00,Ligue 1,Matchweek 1,Fri,Home,D,0,0,Nantes,0.5,0.2,44.0,,Laurent Koscielny,4-3-3,Benoît Bastien,Match Report,,5.0,1.0,29.2,0.0,0.0,0.0,2021,Bordeaux
1,2020-08-30,15:00,Ligue 1,Matchweek 2,Sun,Away,W,2,0,Angers,2.0,0.8,43.0,,Laurent Koscielny,4-2-3-1,Karim Abed,Match Report,,7.0,7.0,11.9,0.0,0.0,0.0,2021,Bordeaux
2,2020-09-11,21:00,Ligue 1,Matchweek 3,Fri,Home,D,0,0,Lyon,0.3,2.0,46.0,,Laurent Koscielny,4-2-3-1,Ruddy Buquet,Match Report,,5.0,0.0,24.2,1.0,0.0,0.0,2021,Bordeaux
3,2020-09-19,17:00,Ligue 1,Matchweek 4,Sat,Away,L,1,2,Lens,0.4,3.1,41.0,,Laurent Koscielny,4-2-3-1,Benoît Millot,Match Report,,7.0,3.0,18.1,1.0,0.0,0.0,2021,Bordeaux
4,2020-09-27,13:00,Ligue 1,Matchweek 5,Sun,Home,D,0,0,Nice,1.2,0.8,46.0,,Laurent Koscielny,4-2-3-1,François Letexier,Match Report,,18.0,5.0,16.6,0.0,0.0,0.0,2021,Bordeaux
5,2020-10-04,15:00,Ligue 1,Matchweek 6,Sun,Home,W,3,0,Dijon,1.6,0.3,50.0,,Laurent Koscielny,4-2-3-1,Antony Gautier,Match Report,,17.0,7.0,17.6,2.0,0.0,0.0,2021,Bordeaux
6,2020-10-17,21:00,Ligue 1,Matchweek 7,Sat,Away,L,1,3,Marseille,0.8,1.0,44.0,,Benoît Costil,4-2-3-1,Franck Schneider,Match Report,,8.0,4.0,15.4,1.0,0.0,0.0,2021,Bordeaux
7,2020-10-25,15:00,Ligue 1,Matchweek 8,Sun,Home,W,2,0,Nîmes,2.1,0.7,59.0,,Benoît Costil,4-2-3-1,Bastien Dechepy,Match Report,,19.0,5.0,17.6,1.0,1.0,1.0,2021,Bordeaux
8,2020-11-01,17:00,Ligue 1,Matchweek 9,Sun,Away,L,0,4,Monaco,0.3,3.5,48.0,,Laurent Koscielny,4-1-4-1,Ruddy Buquet,Match Report,,5.0,0.0,17.1,0.0,0.0,0.0,2021,Bordeaux
9,2020-11-07,17:00,Ligue 1,Matchweek 10,Sat,Home,L,0,2,Montpellier,0.6,1.3,52.0,,Laurent Koscielny,4-2-3-1,Antony Gautier,Match Report,,9.0,1.0,19.9,2.0,0.0,0.0,2021,Bordeaux
10,2020-11-20,19:00,Ligue 1,Matchweek 11,Fri,Away,W,1,0,Rennes,0.7,1.9,41.0,,Laurent Koscielny,4-2-3-1,Karim Abed,Match Report,,6.0,3.0,15.8,0.0,0.0,0.0,2021,Bordeaux
11,2020-11-28,21:00,Ligue 1,Matchweek 12,Sat,Away,D,2,2,Paris S-G,1.3,2.2,35.0,,Laurent Koscielny,4-4-2,Jérémie Pignard,Match Report,,18.0,4.0,19.8,0.0,0.0,0.0,2021,Bordeaux
12,2020-12-06,15:00,Ligue 1,Matchweek 13,Sun,Home,W,1,0,Brest,2.1,0.3,58.0,,Benoît Costil,4-4-2,Franck Schneider,Match Report,,21.0,6.0,16.2,0.0,0.0,0.0,2021,Bordeaux
13,2020-12-13,17:00,Ligue 1,Matchweek 14,Sun,Away,L,1,2,Lille,0.7,1.1,44.0,,Benoît Costil,4-4-2,Eric Wattellier,Match Report,,4.0,3.0,16.9,1.0,0.0,0.0,2021,Bordeaux
14,2020-12-16,21:00,Ligue 1,Matchweek 15,Wed,Home,L,1,2,Saint-Étienne,0.7,2.3,52.0,,Benoît Costil,4-4-2,Stéphanie Frappart,Match Report,,11.0,3.0,17.4,0.0,0.0,0.0,2021,Bordeaux
15,2020-12-20,15:00,Ligue 1,Matchweek 16,Sun,Away,W,2,0,Strasbourg,1.0,1.0,46.0,,Benoît Costil,4-2-3-1,Benoît Bastien,Match Report,,11.0,6.0,16.1,0.0,0.0,0.0,2021,Bordeaux
16,2020-12-23,19:00,Ligue 1,Matchweek 17,Wed,Home,L,1,3,Reims,1.1,1.0,62.0,,Benoît Costil,4-2-3-1,Jérôme Brisard,Match Report,,9.0,3.0,17.7,1.0,0.0,0.0,2021,Bordeaux
17,2021-01-06,19:00,Ligue 1,Matchweek 18,Wed,Away,D,0,0,Metz,1.2,0.9,57.0,,Benoît Costil,4-2-3-1,Antony Gautier,Match Report,,12.0,3.0,18.3,1.0,0.0,0.0,2021,Bordeaux
18,2021-01-09,21:00,Ligue 1,Matchweek 19,Sat,Home,W,2,1,Lorient,1.3,1.2,49.0,,Laurent Koscielny,4-2-3-1,Willy Delajod,Match Report,,16.0,6.0,15.7,0.0,0.0,0.0,2021,Bordeaux
19,2021-01-17,15:00,Ligue 1,Matchweek 20,Sun,Away,W,3,0,Nice,2.5,0.9,50.0,,Laurent Koscielny,4-1-4-1,Thomas Léonard,Match Report,,17.0,9.0,15.6,0.0,0.0,0.0,2021,Bordeaux
20,2021-01-24,13:00,Ligue 1,Matchweek 21,Sun,Home,W,2,1,Angers,1.3,1.8,46.0,,Laurent Koscielny,4-2-3-1,Florent Batta,Match Report,,7.0,3.0,15.7,0.0,0.0,0.0,2021,Bordeaux
21,2021-01-29,21:00,Ligue 1,Matchweek 22,Fri,Away,L,1,2,Lyon,1.0,1.0,44.0,,Laurent Koscielny,4-2-3-1,Clément Turpin,Match Report,,12.0,2.0,20.0,0.0,0.0,0.0,2021,Bordeaux
22,2021-02-03,19:00,Ligue 1,Matchweek 23,Wed,Home,L,0,3,Lille,1.1,1.7,54.0,,Laurent Koscielny,4-2-3-1,Mikael Lesage,Match Report,,10.0,4.0,16.4,0.0,0.0,0.0,2021,Bordeaux
23,2021-02-07,13:00,Ligue 1,Matchweek 24,Sun,Away,L,1,2,Brest,0.8,1.9,53.0,,Laurent Koscielny,3-4-3,Eric Wattellier,Match Report,,8.0,4.0,19.9,0.0,0.0,0.0,2021,Bordeaux
25,2021-02-14,21:00,Ligue 1,Matchweek 25,Sun,Home,D,0,0,Marseille,1.4,0.5,55.0,,Laurent Koscielny,4-3-3,Jérôme Brisard,Match Report,,19.0,1.0,16.6,1.0,0.0,0.0,2021,Bordeaux
26,2021-02-21,15:00,Ligue 1,Matchweek 26,Sun,Away,L,0,2,Nîmes,0.8,0.4,71.0,,Laurent Koscielny,4-2-3-1,Willy Delajod,Match Report,,11.0,4.0,19.7,2.0,0.0,0.0,2021,Bordeaux
27,2021-02-27,13:00,Ligue 1,Matchweek 27,Sat,Home,L,1,2,Metz,0.9,2.0,51.0,,Laurent Koscielny,3-5-2,Aurélien Petit,Match Report,,8.0,1.0,16.4,0.0,0.0,0.0,2021,Bordeaux
28,2021-03-03,21:00,Ligue 1,Matchweek 28,Wed,Home,L,0,1,Paris S-G,0.6,1.0,44.0,,Laurent Koscielny,3-4-3,Franck Schneider,Match Report,,11.0,2.0,16.6,0.0,0.0,0.0,2021,Bordeaux
29,2021-03-14,15:00,Ligue 1,Matchweek 29,Sun,Away,W,3,1,Dijon,1.2,1.1,54.0,,Benoît Costil,4-4-2,Thomas Léonard,Match Report,,10.0,6.0,13.3,0.0,0.0,0.0,2021,Bordeaux
30,2021-03-21,15:00,Ligue 1,Matchweek 30,Sun,Away,L,1,3,Montpellier,1.5,2.5,56.0,,Laurent Koscielny,4-3-3,Hakim Ben El Hadj Salem,Match Report,,13.0,3.0,19.7,0.0,0.0,0.0,2021,Bordeaux
31,2021-04-04,15:00,Ligue 1,Matchweek 31,Sun,Home,L,2,3,Strasbourg,1.7,2.2,62.0,,Laurent Koscielny,3-4-1-2,Jérôme Brisard,Match Report,,13.0,5.0,18.3,1.0,1.0,1.0,2021,Bordeaux
32,2021-04-11,15:00,Ligue 1,Matchweek 32,Sun,Away,L,1,4,Saint-Étienne,2.0,3.3,63.0,,Laurent Koscielny,4-3-3,Franck Schneider,Match Report,,9.0,1.0,16.1,1.0,1.0,1.0,2021,Bordeaux
33,2021-04-18,17:05,Ligue 1,Matchweek 33,Sun,Home,L,0,3,Monaco,0.8,2.1,41.0,,Laurent Koscielny,5-3-2,François Letexier,Match Report,,7.0,2.0,16.1,0.0,0.0,0.0,2021,Bordeaux
34,2021-04-25,15:00,Ligue 1,Matchweek 34,Sun,Away,L,1,4,Lorient,0.9,1.9,57.0,,Benoît Costil,4-1-4-1,Jérémie Pignard,Match Report,,13.0,7.0,19.7,2.0,0.0,0.0,2021,Bordeaux
35,2021-05-02,13:00,Ligue 1,Matchweek 35,Sun,Home,W,1,0,Rennes,0.8,0.6,45.0,,Benoît Costil,4-4-2,Antony Gautier,Match Report,,9.0,3.0,16.9,1.0,0.0,0.0,2021,Bordeaux
36,2021-05-08,13:00,Ligue 1,Matchweek 36,Sat,Away,L,0,3,Nantes,0.8,2.0,51.0,,Benoît Costil,4-4-2,Benoît Millot,Match Report,,10.0,2.0,14.2,0.0,0.0,0.0,2021,Bordeaux
37,2021-05-16,21:00,Ligue 1,Matchweek 37,Sun,Home,W,3,0,Lens,2.5,1.3,34.0,,Benoît Costil,5-3-2,Eric Wattellier,Match Report,,10.0,3.0,17.0,0.0,1.0,1.0,2021,Bordeaux
38,2021-05-23,21:00,Ligue 1,Matchweek 38,Sun,Away,W,2,1,Reims,1.1,1.0,44.0,,Laurent Koscielny,5-3-2,Jérôme Brisard,Match Report,,12.0,5.0,19.7,1.0,0.0,0.0,2021,Bordeaux
0,2020-08-22,17:00,Ligue 1,Matchweek 1,Sat,Away,W,1,0,Dijon,1.5,0.9,46.0,,Ismaël Traoré,4-1-4-1,Eric Wattellier,Match Report,,12.0,4.0,14.4,0.0,0.0,0.0,2021,Angers
1,2020-08-30,15:00,Ligue 1,Matchweek 2,Sun,Home,L,0,2,Bordeaux,0.8,2.0,57.0,,Ismaël Traoré,4-1-4-1,Karim Abed,Match Report,,12.0,2.0,18.5,0.0,0.0,0.0,2021,Angers
2,2020-09-13,15:00,Ligue 1,Matchweek 3,Sun,Home,W,1,0,Reims,2.0,0.4,58.0,,Ismaël Traoré,4-1-4-1,Benoît Bastien,Match Report,,19.0,6.0,23.8,2.0,0.0,1.0,2021,Angers
3,2020-09-20,15:00,Ligue 1,Matchweek 4,Sun,Away,L,1,4,Montpellier,1.1,1.6,50.0,,Ismaël Traoré,3-4-3,Stéphanie Frappart,Match Report,,14.0,3.0,19.8,0.0,0.0,0.0,2021,Angers
4,2020-09-27,15:00,Ligue 1,Matchweek 5,Sun,Home,W,3,2,Brest,1.1,3.0,53.0,,Ismaël Traoré,4-3-3,Jeremy Stinat,Match Report,,12.0,4.0,15.6,0.0,0.0,0.0,2021,Angers
5,2020-10-02,21:00,Ligue 1,Matchweek 6,Fri,Away,L,1,6,Paris S-G,1.0,2.4,43.0,,Ismaël Traoré,5-4-1,Franck Schneider,Match Report,,8.0,2.0,17.8,1.0,0.0,0.0,2021,Angers
6,2020-10-18,15:00,Ligue 1,Matchweek 7,Sun,Home,D,1,1,Metz,1.1,1.1,47.0,,Ismaël Traoré,4-1-4-1,Aurélien Petit,Match Report,,6.0,1.0,21.4,1.0,1.0,1.0,2021,Angers
7,2020-10-23,21:00,Ligue 1,Matchweek 8,Fri,Away,W,2,1,Rennes,1.2,1.4,37.0,,Ismaël Traoré,4-2-3-1,Jérémie Pignard,Match Report,,10.0,4.0,17.9,1.0,0.0,0.0,2021,Angers
8,2020-11-01,15:00,Ligue 1,Matchweek 9,Sun,Home,L,0,3,Nice,0.4,2.3,52.0,,Ismaël Traoré,4-2-3-1,Jeremy Stinat,Match Report,,11.0,5.0,22.4,1.0,0.0,0.0,2021,Angers
9,2020-11-08,15:00,Ligue 1,Matchweek 10,Sun,Away,W,5,1,Nîmes,2.8,1.9,41.0,,Ismaël Traoré,4-2-3-1,Franck Schneider,Match Report,,17.0,7.0,17.3,1.0,1.0,1.0,2021,Angers
10,2020-11-22,17:00,Ligue 1,Matchweek 11,Sun,Home,L,0,1,Lyon,1.1,1.0,50.0,,Ismaël Traoré,4-2-3-1,Amaury Delerue,Match Report,,19.0,7.0,19.8,0.0,0.0,0.0,2021,Angers
11,2020-11-29,15:00,Ligue 1,Matchweek 12,Sun,Away,W,3,1,Lens,2.3,1.4,36.0,,Ismaël Traoré,4-2-3-1,Aurélien Petit,Match Report,,18.0,6.0,17.4,0.0,0.0,0.0,2021,Angers
12,2020-12-06,15:00,Ligue 1,Matchweek 13,Sun,Home,W,2,0,Lorient,2.0,0.6,48.0,,Ismaël Traoré,4-2-3-1,Thomas Léonard,Match Report,,10.0,3.0,18.8,0.0,0.0,0.0,2021,Angers
13,2020-12-11,21:00,Ligue 1,Matchweek 14,Fri,Away,D,0,0,Saint-Étienne,0.7,1.3,38.0,,Ismaël Traoré,4-2-3-1,Jérôme Miguelgorry,Match Report,,8.0,3.0,17.2,1.0,0.0,0.0,2021,Angers
14,2020-12-16,19:00,Ligue 1,Matchweek 15,Wed,Home,L,0,2,Strasbourg,0.4,0.6,57.0,,Ismaël Traoré,4-2-3-1,Bastien Dechepy,Match Report,,9.0,2.0,20.9,1.0,0.0,0.0,2021,Angers
15,2020-12-20,15:00,Ligue 1,Matchweek 16,Sun,Away,D,1,1,Nantes,1.1,0.5,40.0,,Ismaël Traoré,4-2-3-1,Willy Delajod,Match Report,,12.0,6.0,17.5,1.0,0.0,0.0,2021,Angers
16,2020-12-23,21:00,Ligue 1,Matchweek 17,Wed,Home,W,2,1,Marseille,0.6,1.5,31.0,,Ismaël Traoré,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,9.0,2.0,16.6,0.0,0.0,0.0,2021,Angers
17,2021-01-06,21:00,Ligue 1,Matchweek 18,Wed,Away,W,2,1,Lille,0.6,0.4,35.0,,Ismaël Traoré,4-2-3-1,Thomas Léonard,Match Report,,7.0,3.0,20.0,0.0,0.0,0.0,2021,Angers
18,2021-01-09,21:00,Ligue 1,Matchweek 19,Sat,Away,L,0,3,Monaco,0.7,2.1,44.0,,Ismaël Traoré,4-2-3-1,Benoît Bastien,Match Report,,6.0,2.0,15.6,0.0,0.0,0.0,2021,Angers
19,2021-01-16,21:00,Ligue 1,Matchweek 20,Sat,Home,L,0,1,Paris S-G,0.9,1.4,39.0,,Ismaël Traoré,4-4-2,Amaury Delerue,Match Report,,11.0,4.0,18.9,0.0,0.0,0.0,2021,Angers
20,2021-01-24,13:00,Ligue 1,Matchweek 21,Sun,Away,L,1,2,Bordeaux,1.8,1.3,54.0,,Ismaël Traoré,4-2-3-1,Florent Batta,Match Report,,15.0,7.0,15.5,1.0,0.0,0.0,2021,Angers
21,2021-01-31,15:00,Ligue 1,Matchweek 22,Sun,Home,W,3,1,Nîmes,1.5,1.1,40.0,,Ismaël Traoré,4-2-3-1,Ruddy Buquet,Match Report,,12.0,5.0,18.3,0.0,0.0,0.0,2021,Angers
22,2021-02-03,19:00,Ligue 1,Matchweek 23,Wed,Away,D,0,0,Reims,0.3,0.5,43.0,,Thomas Mangani,4-2-3-1,Aurélien Petit,Match Report,,6.0,2.0,23.6,1.0,0.0,0.0,2021,Angers
23,2021-02-07,15:00,Ligue 1,Matchweek 24,Sun,Away,L,0,3,Nice,0.9,1.2,49.0,,Ismaël Traoré,4-2-3-1,Jérôme Miguelgorry,Match Report,,10.0,3.0,19.9,1.0,0.0,0.0,2021,Angers
25,2021-02-14,15:00,Ligue 1,Matchweek 25,Sun,Home,L,1,3,Nantes,1.5,2.0,65.0,,Ismaël Traoré,4-2-3-1,François Letexier,Match Report,,7.0,2.0,13.9,0.0,1.0,1.0,2021,Angers
26,2021-02-21,15:00,Ligue 1,Matchweek 26,Sun,Away,D,0,0,Strasbourg,0.3,1.2,43.0,,Ismaël Traoré,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,8.0,3.0,21.3,0.0,0.0,0.0,2021,Angers
27,2021-02-28,15:00,Ligue 1,Matchweek 27,Sun,Home,D,2,2,Lens,1.6,1.3,40.0,,Ismaël Traoré,4-2-3-1,Bastien Dechepy,Match Report,,5.0,2.0,18.9,0.0,1.0,1.0,2021,Angers
28,2021-03-03,19:00,Ligue 1,Matchweek 28,Wed,Away,W,1,0,Metz,1.1,0.8,35.0,,Ismaël Traoré,5-4-1,Johan Hamel,Match Report,,7.0,3.0,21.3,0.0,1.0,1.0,2021,Angers
30,2021-03-13,13:00,Ligue 1,Matchweek 29,Sat,Home,L,0,1,Saint-Étienne,0.2,0.8,54.0,,Ismaël Traoré,4-2-3-1,Benoît Millot,Match Report,,4.0,1.0,18.5,0.0,0.0,0.0,2021,Angers
31,2021-03-21,15:00,Ligue 1,Matchweek 30,Sun,Away,D,0,0,Brest,0.8,0.6,48.0,,Ismaël Traoré,4-4-1-1,Aurélien Petit,Match Report,,15.0,5.0,22.8,1.0,0.0,0.0,2021,Angers
32,2021-04-04,13:00,Ligue 1,Matchweek 31,Sun,Home,D,1,1,Montpellier,1.1,2.2,62.0,,Ismaël Traoré,4-4-1-1,Florent Batta,Match Report,,14.0,4.0,19.2,1.0,0.0,0.0,2021,Angers
34,2021-04-11,21:00,Ligue 1,Matchweek 32,Sun,Away,L,0,3,Lyon,1.2,2.6,47.0,,Ismaël Traoré,5-3-2,Mikael Lesage,Match Report,,11.0,3.0,13.0,0.0,0.0,0.0,2021,Angers
35,2021-04-17,12:45,Ligue 1,Matchweek 33,Sat,Home,L,0,3,Rennes,0.6,1.3,41.0,,Ismaël Traoré,4-3-3,Thomas Léonard,Match Report,,10.0,3.0,21.4,0.0,0.0,0.0,2021,Angers
37,2021-04-25,17:05,Ligue 1,Matchweek 34,Sun,Home,L,0,1,Monaco,0.1,1.6,42.0,,Ismaël Traoré,5-3-2,Hakim Ben El Hadj Salem,Match Report,,4.0,0.0,29.5,0.0,0.0,0.0,2021,Angers
38,2021-05-02,15:00,Ligue 1,Matchweek 35,Sun,Away,L,0,2,Lorient,0.8,1.7,50.0,,Ismaël Traoré,5-3-2,Willy Delajod,Match Report,,9.0,2.0,23.1,0.0,0.0,0.0,2021,Angers
39,2021-05-09,15:00,Ligue 1,Matchweek 36,Sun,Home,W,3,0,Dijon,1.9,0.3,44.0,,Thomas Mangani,4-2-3-1,Jérôme Brisard,Match Report,,12.0,5.0,16.2,1.0,0.0,0.0,2021,Angers
40,2021-05-16,21:00,Ligue 1,Matchweek 37,Sun,Away,L,2,3,Marseille,1.7,2.4,47.0,,Thomas Mangani,4-2-3-1,Franck Schneider,Match Report,,11.0,5.0,18.8,1.0,0.0,0.0,2021,Angers
41,2021-05-23,21:00,Ligue 1,Matchweek 38,Sun,Home,L,1,2,Lille,0.6,1.6,57.0,,Romain Thomas,4-2-3-1,Benoît Bastien,Match Report,,11.0,4.0,19.2,1.0,0.0,0.0,2021,Angers
0,2020-08-23,13:00,Ligue 1,Matchweek 1,Sun,Away,D,2,2,Monaco,1.7,1.8,25.0,,Yunis Abdelhamid,4-4-2,François Letexier,Match Report,,9.0,3.0,15.4,0.0,0.0,0.0,2021,Reims
1,2020-08-30,13:00,Ligue 1,Matchweek 2,Sun,Home,L,0,1,Lille,0.3,1.2,50.0,,Yunis Abdelhamid,4-1-4-1,Stéphanie Frappart,Match Report,,4.0,0.0,24.9,0.0,0.0,0.0,2021,Reims
2,2020-09-13,15:00,Ligue 1,Matchweek 3,Sun,Away,L,0,1,Angers,0.4,2.0,42.0,,Xavier Chavalerin,4-4-2,Benoît Bastien,Match Report,,7.0,2.0,17.6,1.0,0.0,0.0,2021,Reims
4,2020-09-20,15:00,Ligue 1,Matchweek 4,Sun,Away,L,1,2,Metz,1.2,1.7,41.0,,Yunis Abdelhamid,4-2-3-1,Johan Hamel,Match Report,,9.0,3.0,22.2,0.0,1.0,1.0,2021,Reims
6,2020-09-27,21:00,Ligue 1,Matchweek 5,Sun,Home,L,0,2,Paris S-G,0.3,3.8,36.0,,Yunis Abdelhamid,4-1-4-1,Ruddy Buquet,Match Report,,8.0,3.0,23.4,0.0,0.0,0.0,2021,Reims
7,2020-10-04,17:00,Ligue 1,Matchweek 6,Sun,Away,D,2,2,Rennes,1.1,1.8,27.0,,Yunis Abdelhamid,4-4-2,Florent Batta,Match Report,,9.0,4.0,14.1,0.0,0.0,0.0,2021,Reims
8,2020-10-17,17:00,Ligue 1,Matchweek 7,Sat,Home,L,1,3,Lorient,0.3,2.7,47.0,,Yunis Abdelhamid,4-2-3-1,Mikael Lesage,Match Report,,6.0,3.0,19.5,0.0,0.0,0.0,2021,Reims
9,2020-10-25,15:00,Ligue 1,Matchweek 8,Sun,Away,W,4,0,Montpellier,4.0,0.3,67.0,,Yunis Abdelhamid,4-4-2,Willy Delajod,Match Report,,22.0,7.0,16.7,1.0,2.0,2.0,2021,Reims
10,2020-11-01,15:00,Ligue 1,Matchweek 9,Sun,Home,W,2,1,Strasbourg,0.6,1.5,51.0,,Yunis Abdelhamid,4-4-2,Eric Wattellier,Match Report,,12.0,4.0,24.5,1.0,0.0,0.0,2021,Reims
11,2020-11-08,15:00,Ligue 1,Matchweek 10,Sun,Away,D,4,4,Lens,1.0,1.6,38.0,,Yunis Abdelhamid,4-4-2,Thomas Léonard,Match Report,,8.0,6.0,18.2,0.0,0.0,0.0,2021,Reims
12,2020-11-22,15:00,Ligue 1,Matchweek 11,Sun,Home,L,0,1,Nîmes,1.5,1.0,70.0,,Yunis Abdelhamid,4-4-2,Jeremy Stinat,Match Report,,16.0,6.0,20.3,1.0,0.0,0.0,2021,Reims
13,2020-11-29,13:00,Ligue 1,Matchweek 12,Sun,Away,L,0,3,Lyon,0.4,1.7,36.0,,Yunis Abdelhamid,4-4-2,Jérôme Miguelgorry,Match Report,,9.0,2.0,23.9,1.0,0.0,0.0,2021,Reims
14,2020-12-06,17:00,Ligue 1,Matchweek 13,Sun,Home,D,0,0,Nice,0.5,0.7,35.0,,Yunis Abdelhamid,4-2-3-1,Stéphanie Frappart,Match Report,,11.0,2.0,21.0,1.0,0.0,0.0,2021,Reims
15,2020-12-13,15:00,Ligue 1,Matchweek 14,Sun,Away,L,1,2,Brest,0.6,3.0,49.0,,Yunis Abdelhamid,4-4-2,Aurélien Petit,Match Report,,10.0,4.0,18.5,0.0,0.0,0.0,2021,Reims
16,2020-12-16,19:00,Ligue 1,Matchweek 15,Wed,Home,W,3,2,Nantes,1.8,2.0,46.0,,Yunis Abdelhamid,4-4-2,Karim Abed,Match Report,,12.0,3.0,18.6,1.0,1.0,1.0,2021,Reims
17,2020-12-19,19:00,Ligue 1,Matchweek 16,Sat,Away,D,1,1,Marseille,0.3,1.3,30.0,,Yunis Abdelhamid,4-5-1,Thomas Léonard,Match Report,,3.0,1.0,21.8,0.0,0.0,0.0,2021,Reims
18,2020-12-23,19:00,Ligue 1,Matchweek 17,Wed,Away,W,3,1,Bordeaux,1.0,1.1,38.0,,Yunis Abdelhamid,4-1-4-1,Jérôme Brisard,Match Report,,10.0,5.0,20.0,0.0,0.0,0.0,2021,Reims
19,2021-01-06,21:00,Ligue 1,Matchweek 18,Wed,Home,D,0,0,Dijon,0.7,0.3,57.0,,Yunis Abdelhamid,4-1-4-1,Amaury Delerue,Match Report,,9.0,3.0,19.9,1.0,0.0,0.0,2021,Reims
20,2021-01-09,21:00,Ligue 1,Matchweek 19,Sat,Home,W,3,1,Saint-Étienne,1.6,1.5,36.0,,Yunis Abdelhamid,4-1-4-1,Florent Batta,Match Report,,6.0,2.0,19.9,1.0,1.0,1.0,2021,Reims
21,2021-01-17,17:00,Ligue 1,Matchweek 20,Sun,Away,L,1,2,Lille,0.3,1.6,39.0,,Yunis Abdelhamid,4-1-4-1,Benoît Millot,Match Report,,8.0,4.0,22.1,0.0,0.0,0.0,2021,Reims
22,2021-01-24,15:00,Ligue 1,Matchweek 21,Sun,Home,W,1,0,Brest,1.1,1.3,36.0,,Yunis Abdelhamid,4-1-4-1,Johan Hamel,Match Report,,12.0,2.0,17.5,0.0,0.0,0.0,2021,Reims
23,2021-01-31,15:00,Ligue 1,Matchweek 22,Sun,Away,W,1,0,Strasbourg,1.4,1.2,52.0,,Yunis Abdelhamid,4-1-4-1,Stéphanie Frappart,Match Report,,10.0,5.0,17.5,0.0,0.0,0.0,2021,Reims
24,2021-02-03,19:00,Ligue 1,Matchweek 23,Wed,Home,D,0,0,Angers,0.5,0.3,57.0,,Yunis Abdelhamid,4-1-4-1,Aurélien Petit,Match Report,,10.0,2.0,20.0,1.0,0.0,0.0,2021,Reims
25,2021-02-06,17:00,Ligue 1,Matchweek 24,Sat,Away,L,0,1,Lorient,0.9,1.0,60.0,,Yunis Abdelhamid,4-1-4-1,Thomas Léonard,Match Report,,13.0,3.0,21.8,1.0,0.0,0.0,2021,Reims
27,2021-02-13,19:00,Ligue 1,Matchweek 25,Sat,Home,D,1,1,Lens,0.7,2.9,37.0,,Xavier Chavalerin,4-1-4-1,Eric Wattellier,Match Report,,9.0,6.0,19.3,0.0,0.0,0.0,2021,Reims
28,2021-02-20,13:00,Ligue 1,Matchweek 26,Sat,Away,D,1,1,Saint-Étienne,0.4,2.0,51.0,,Thomas Foket,4-1-4-1,Antony Gautier,Match Report,,4.0,2.0,9.2,0.0,0.0,0.0,2021,Reims
29,2021-02-28,15:00,Ligue 1,Matchweek 27,Sun,Home,D,0,0,Montpellier,0.4,0.4,57.0,,Yunis Abdelhamid,4-1-4-1,François Letexier,Match Report,,9.0,2.0,19.2,1.0,0.0,0.0,2021,Reims
